"year","mo","data.type","region","extent","area","date"
1992,10,"      Goddard","      S",17.93,13.85,1992-10-01
1992,11,"      Goddard","      S",15.9,11.2,1992-11-01
1992,12,"      Goddard","      S",10.21,6.18,1992-12-01
1993,1,"      Goddard","      S",4.41,2.55,1993-01-01
1993,2,"      Goddard","      S",2.48,1.37,1993-02-01
1993,3,"      Goddard","      S",3.67,2.24,1993-03-01
1993,4,"      Goddard","      S",6.65,4.9,1993-04-01
1993,5,"      Goddard","      S",10.1,7.89,1993-05-01
1993,6,"      Goddard","      S",13.15,10.37,1993-06-01
1993,7,"      Goddard","      S",15.85,12.72,1993-07-01
1993,8,"      Goddard","      S",17.49,13.93,1993-08-01
1993,9,"      Goddard","      S",18.54,14.7,1993-09-01
1993,10,"      Goddard","      S",18.13,14.17,1993-10-01
1993,11,"      Goddard","      S",16.04,11.83,1993-11-01
1993,12,"      Goddard","      S",9.93,6.67,1993-12-01
1994,1,"      Goddard","      S",4.97,3.37,1994-01-01
1994,2,"      Goddard","      S",3.2,2.22,1994-02-01
1994,3,"      Goddard","      S",4.55,3.2,1994-03-01
1994,4,"      Goddard","      S",7.22,5.45,1994-04-01
1994,5,"      Goddard","      S",10.41,8.21,1994-05-01
1994,6,"      Goddard","      S",13.56,10.73,1994-06-01
1994,7,"      Goddard","      S",16.3,13.12,1994-07-01
1994,8,"      Goddard","      S",17.84,14.49,1994-08-01
1994,9,"      Goddard","      S",18.61,14.61,1994-09-01
1994,10,"      Goddard","      S",18.09,14.07,1994-10-01
1994,11,"      Goddard","      S",15.88,11.78,1994-11-01
1994,12,"      Goddard","      S",10.1,7.11,1994-12-01
1995,1,"      Goddard","      S",5.64,3.73,1995-01-01
1995,2,"      Goddard","      S",3.56,2.19,1995-02-01
1995,3,"      Goddard","      S",4.63,3.01,1995-03-01
1995,4,"      Goddard","      S",7.27,5.4,1995-04-01
1995,5,"      Goddard","      S",10.42,8.19,1995-05-01
1995,6,"      Goddard","      S",13.29,10.46,1995-06-01
1995,7,"      Goddard","      S",15.74,12.53,1995-07-01
1995,8,"      Goddard","      S",17.78,14.2,1995-08-01
1995,9,"      Goddard","      S",18.37,14.46,1995-09-01
1995,10,"      Goddard","      S",18.03,13.57,1995-10-01
1995,11,"      Goddard","      S",15.63,11.49,1995-11-01
1995,12,"      Goddard","      S",10.62,7.19,1995-12-01
1996,1,"      Goddard","      S",5.87,3.55,1996-01-01
1996,2,"      Goddard","      S",2.98,1.77,1996-02-01
1996,3,"      Goddard","      S",4.18,2.65,1996-03-01
1996,4,"      Goddard","      S",7.28,5.37,1996-04-01
1996,5,"      Goddard","      S",10.92,8.65,1996-05-01
1996,6,"      Goddard","      S",13.87,11.09,1996-06-01
1996,7,"      Goddard","      S",16.12,12.89,1996-07-01
1996,8,"      Goddard","      S",17.74,13.9,1996-08-01
1996,9,"      Goddard","      S",18.63,14.54,1996-09-01
1996,10,"      Goddard","      S",17.96,13.94,1996-10-01
1996,11,"      Goddard","      S",15.72,11.24,1996-11-01
1996,12,"      Goddard","      S",9.65,6.24,1996-12-01
1997,1,"      Goddard","      S",4.2,2.77,1997-01-01
1997,2,"      Goddard","      S",2.49,1.72,1997-02-01
1997,3,"      Goddard","      S",3.46,2.3,1997-03-01
1997,4,"      Goddard","      S",6.49,4.84,1997-04-01
1997,5,"      Goddard","      S",10.12,7.91,1997-05-01
1997,6,"      Goddard","      S",13.12,10.22,1997-06-01
1997,7,"      Goddard","      S",15.92,12.75,1997-07-01
1997,8,"      Goddard","      S",17.68,14.09,1997-08-01
1997,9,"      Goddard","      S",18.6,14.59,1997-09-01
1997,10,"      Goddard","      S",17.99,14.12,1997-10-01
1997,11,"      Goddard","      S",15.73,11.59,1997-11-01
1997,12,"      Goddard","      S",10.29,6.99,1997-12-01
1998,1,"      Goddard","      S",4.46,3.04,1998-01-01
1998,2,"      Goddard","      S",2.99,1.87,1998-02-01
1998,3,"      Goddard","      S",4.11,2.71,1998-03-01
1998,4,"      Goddard","      S",6.85,5.12,1998-04-01
1998,5,"      Goddard","      S",10.33,7.91,1998-05-01
1998,6,"      Goddard","      S",13.31,10.34,1998-06-01
1998,7,"      Goddard","      S",15.96,12.66,1998-07-01
1998,8,"      Goddard","      S",17.88,14.06,1998-08-01
1998,9,"      Goddard","      S",18.9,14.84,1998-09-01
1998,10,"      Goddard","      S",18.66,14.54,1998-10-01
1998,11,"      Goddard","      S",16.3,11.88,1998-11-01
1998,12,"      Goddard","      S",10.52,6.8,1998-12-01
1999,1,"      Goddard","      S",4.82,3.11,1999-01-01
1999,2,"      Goddard","      S",2.97,1.77,1999-02-01
1999,3,"      Goddard","      S",3.98,2.58,1999-03-01
1999,4,"      Goddard","      S",6.89,5.13,1999-04-01
1999,5,"      Goddard","      S",10.27,8.07,1999-05-01
1999,6,"      Goddard","      S",13.65,10.83,1999-06-01
1999,7,"      Goddard","      S",16.28,13.06,1999-07-01
1999,8,"      Goddard","      S",17.96,14.24,1999-08-01
1999,9,"      Goddard","      S",18.7,14.62,1999-09-01
1999,10,"      Goddard","      S",18.35,14.23,1999-10-01
1999,11,"      Goddard","      S",15.96,11.51,1999-11-01
1999,12,"      Goddard","      S",10.72,6.8,1999-12-01
2000,1,"      Goddard","      S",4.75,2.92,2000-01-01
2000,2,"      Goddard","      S",2.91,1.72,2000-02-01
2000,3,"      Goddard","      S",4.09,2.67,2000-03-01
2000,4,"      Goddard","      S",7.13,5.31,2000-04-01
2000,5,"      Goddard","      S",10.92,8.56,2000-05-01
2000,6,"      Goddard","      S",13.89,11.04,2000-06-01
2000,7,"      Goddard","      S",16.1,12.99,2000-07-01
2000,8,"      Goddard","      S",18.21,14.64,2000-08-01
2000,9,"      Goddard","      S",18.89,15.07,2000-09-01
2000,10,"      Goddard","      S",18.13,14.26,2000-10-01
2000,11,"      Goddard","      S",15.76,11.81,2000-11-01
2000,12,"      Goddard","      S",9.91,6.95,2000-12-01
2001,1,"      Goddard","      S",5.23,3.64,2001-01-01
2001,2,"      Goddard","      S",3.65,2.44,2001-02-01
2001,3,"      Goddard","      S",4.73,3.36,2001-03-01
2001,4,"      Goddard","      S",7.04,5.3,2001-04-01
2001,5,"      Goddard","      S",10.33,8,2001-05-01
2001,6,"      Goddard","      S",13.42,10.56,2001-06-01
2001,7,"      Goddard","      S",15.85,12.58,2001-07-01
2001,8,"      Goddard","      S",17.42,13.75,2001-08-01
2001,9,"      Goddard","      S",18.17,14.36,2001-09-01
2001,10,"      Goddard","      S",17.73,13.34,2001-10-01
2001,11,"      Goddard","      S",15.61,11,2001-11-01
2001,12,"      Goddard","      S",10.35,6.36,2001-12-01
2002,1,"      Goddard","      S",4.74,2.95,2002-01-01
2002,2,"      Goddard","      S",2.96,1.82,2002-02-01
2002,3,"      Goddard","      S",3.75,2.36,2002-03-01
2002,4,"      Goddard","      S",6.33,4.59,2002-04-01
2002,5,"      Goddard","      S",9.51,7.18,2002-05-01
2002,6,"      Goddard","      S",12.38,9.7,2002-06-01
2002,7,"      Goddard","      S",15.41,12.52,2002-07-01
2002,8,"      Goddard","      S",17.07,13.74,2002-08-01
2002,9,"      Goddard","      S",17.89,14.1,2002-09-01
2002,10,"      Goddard","      S",17.87,13.82,2002-10-01
2002,11,"      Goddard","      S",15.41,11.67,2002-11-01
2002,12,"      Goddard","      S",10.79,7.61,2002-12-01
2003,1,"      Goddard","      S",5.77,4.11,2003-01-01
2003,2,"      Goddard","      S",3.79,2.66,2003-02-01
2003,3,"      Goddard","      S",4.44,3.24,2003-03-01
2003,4,"      Goddard","      S",7.21,5.56,2003-04-01
2003,5,"      Goddard","      S",10.74,8.45,2003-05-01
2003,6,"      Goddard","      S",13.99,11.16,2003-06-01
2003,7,"      Goddard","      S",16.4,13.17,2003-07-01
2003,8,"      Goddard","      S",17.58,13.77,2003-08-01
2003,9,"      Goddard","      S",18.3,14.14,2003-09-01
2003,10,"      Goddard","      S",18.2,13.87,2003-10-01
2003,11,"      Goddard","      S",16.11,11.47,2003-11-01
2003,12,"      Goddard","      S",10.56,7.2,2003-12-01
2004,1,"      Goddard","      S",5.59,3.8,2004-01-01
2004,2,"      Goddard","      S",3.58,2.36,2004-02-01
2004,3,"      Goddard","      S",4.53,3.16,2004-03-01
2004,4,"      Goddard","      S",7.28,5.39,2004-04-01
2004,5,"      Goddard","      S",10.47,8.19,2004-05-01
2004,6,"      Goddard","      S",13.78,10.89,2004-06-01
2004,7,"      Goddard","      S",16.33,13.16,2004-07-01
2004,8,"      Goddard","      S",18.01,14.23,2004-08-01
2004,9,"      Goddard","      S",18.92,14.59,2004-09-01
2004,10,"      Goddard","      S",18.46,14.12,2004-10-01
2004,11,"      Goddard","      S",16.08,11.75,2004-11-01
2004,12,"      Goddard","      S",10.23,6.93,2004-12-01
2005,1,"      Goddard","      S",4.75,3.18,2005-01-01
2005,2,"      Goddard","      S",2.97,1.97,2005-02-01
2005,3,"      Goddard","      S",4.08,2.73,2005-03-01
2005,4,"      Goddard","      S",7.03,5.19,2005-04-01
2005,5,"      Goddard","      S",10.29,7.96,2005-05-01
2005,6,"      Goddard","      S",13.29,10.31,2005-06-01
2005,7,"      Goddard","      S",16.16,12.72,2005-07-01
2005,8,"      Goddard","      S",17.92,13.95,2005-08-01
2005,9,"      Goddard","      S",18.8,14.85,2005-09-01
2005,10,"      Goddard","      S",18.48,14.04,2005-10-01
2005,11,"      Goddard","      S",16.32,11.8,2005-11-01
2005,12,"      Goddard","      S",9.68,6.33,2005-12-01
2006,1,"      Goddard","      S",4.16,2.81,2006-01-01
2006,2,"      Goddard","      S",2.65,1.76,2006-02-01
2006,3,"      Goddard","      S",3.21,2.01,2006-03-01
2006,4,"      Goddard","      S",6.01,4.28,2006-04-01
2006,5,"      Goddard","      S",9.46,7.2,2006-05-01
2006,6,"      Goddard","      S",13.34,10.58,2006-06-01
2006,7,"      Goddard","      S",16.11,12.88,2006-07-01
2006,8,"      Goddard","      S",18.1,14.54,2006-08-01
2006,9,"      Goddard","      S",19.09,15.18,2006-09-01
2006,10,"      Goddard","      S",18.73,14.68,2006-10-01
2006,11,"      Goddard","      S",16.23,11.61,2006-11-01
2006,12,"      Goddard","      S",9.85,6.48,2006-12-01
2007,1,"      Goddard","      S",4.67,3,2007-01-01
2007,2,"      Goddard","      S",2.9,1.94,2007-02-01
2007,3,"      Goddard","      S",3.83,2.54,2007-03-01
2007,4,"      Goddard","      S",6.42,4.7,2007-04-01
2007,5,"      Goddard","      S",9.65,7.54,2007-05-01
2007,6,"      Goddard","      S",13.29,10.48,2007-06-01
2007,7,"      Goddard","      S",15.96,12.61,2007-07-01
2007,8,"      Goddard","      S",17.68,14.03,2007-08-01
2007,9,"      Goddard","      S",18.86,15.39,2007-09-01
2007,10,"      Goddard","      S",18.51,14.59,2007-10-01
2007,11,"      Goddard","      S",15.89,12.16,2007-11-01
2007,12,"      Goddard","      S",11.98,8.38,2007-12-01
2008,1,"      Goddard","      S",6.41,4.07,2008-01-01
2008,2,"      Goddard","      S",3.89,2.4,2008-02-01
2008,3,"      Goddard","      S",5.28,3.68,2008-03-01
2008,4,"      Goddard","      S",8.24,6.23,2008-04-01
2008,5,"      Goddard","      S",11.05,8.6,2008-05-01
2008,6,"      Goddard","      S",14.06,11.4,2008-06-01
2008,7,"      Goddard","      S",16.09,12.95,2008-07-01
2008,8,"      Goddard","      S",17.64,14.13,2008-08-01
2008,9,"      Goddard","      S",18.15,14.39,2008-09-01
2008,10,"      Goddard","      S",17.99,14.12,2008-10-01
2008,11,"      Goddard","      S",16.25,12.01,2008-11-01
2008,12,"      Goddard","      S",11.51,7.39,2008-12-01
2009,1,"      Goddard","      S",5.71,3.5,2009-01-01
2009,2,"      Goddard","      S",2.99,1.97,2009-02-01
2009,3,"      Goddard","      S",4.44,3.02,2009-03-01
2009,4,"      Goddard","      S",7.8,5.96,2009-04-01
2009,5,"      Goddard","      S",10.93,8.46,2009-05-01
2009,6,"      Goddard","      S",13.91,11.09,2009-06-01
2009,7,"      Goddard","      S",16.26,13.09,2009-07-01
2009,8,"      Goddard","      S",18.1,14.45,2009-08-01
2009,9,"      Goddard","      S",18.96,15.08,2009-09-01
2009,10,"      Goddard","      S",18.3,14.35,2009-10-01
2009,11,"      Goddard","      S",15.85,11.8,2009-11-01
2009,12,"      Goddard","      S",10.74,7.09,2009-12-01
2010,1,"      Goddard","      S",4.96,3.33,2010-01-01
2010,2,"      Goddard","      S",3.11,2.11,2010-02-01
2010,3,"      Goddard","      S",3.85,2.66,2010-03-01
2010,4,"      Goddard","      S",6.72,5,2010-04-01
2010,5,"      Goddard","      S",10.64,8.33,2010-05-01
2010,6,"      Goddard","      S",14.41,11.65,2010-06-01
2010,7,"      Goddard","      S",16.92,13.74,2010-07-01
2010,8,"      Goddard","      S",18.61,14.95,2010-08-01
2010,9,"      Goddard","      S",18.8,14.43,2010-09-01
2010,10,"      Goddard","      S",18.65,14.41,2010-10-01
2010,11,"      Goddard","      S",16.75,11.92,2010-11-01
2010,12,"      Goddard","      S",11.27,6.94,2010-12-01
2011,1,"      Goddard","      S",4.51,3.05,2011-01-01
2011,2,"      Goddard","      S",2.52,1.86,2011-02-01
2011,3,"      Goddard","      S",3.37,2.26,2011-03-01
2011,4,"      Goddard","      S",6.1,4.39,2011-04-01
2011,5,"      Goddard","      S",10.09,7.85,2011-05-01
2011,6,"      Goddard","      S",13.33,10.54,2011-06-01
2011,7,"      Goddard","      S",15.75,12.34,2011-07-01
2011,8,"      Goddard","      S",17.81,14.04,2011-08-01
2011,9,"      Goddard","      S",18.74,14.57,2011-09-01
2011,10,"      Goddard","      S",18.22,14.23,2011-10-01
2011,11,"      Goddard","      S",15.76,11.77,2011-11-01
2011,12,"      Goddard","      S",11.2,7.4,2011-12-01
2012,1,"      Goddard","      S",5.65,3.71,2012-01-01
2012,2,"      Goddard","      S",3.55,2.19,2012-02-01
2012,3,"      Goddard","      S",4.55,2.91,2012-03-01
2012,4,"      Goddard","      S",7.31,5.55,2012-04-01
2012,5,"      Goddard","      S",10.46,8.15,2012-05-01
2012,6,"      Goddard","      S",13.55,10.79,2012-06-01
2012,7,"      Goddard","      S",16.3,13.31,2012-07-01
2012,8,"      Goddard","      S",18.1,14.56,2012-08-01
2012,9,"      Goddard","      S",19.21,15.41,2012-09-01
2012,10,"      Goddard","      S",18.59,14.45,2012-10-01
2012,11,"      Goddard","      S",16.11,12.07,2012-11-01
2012,12,"      Goddard","      S",10.39,7.38,2012-12-01
2013,1,"      Goddard","      S",5.54,3.94,2013-01-01
2013,2,"      Goddard","      S",3.84,2.58,2013-02-01
2013,3,"      Goddard","      S",5.02,3.49,2013-03-01
2013,4,"      Goddard","      S",7.62,5.75,2013-04-01
2013,5,"      Goddard","      S",10.92,8.49,2013-05-01
2013,6,"      Goddard","      S",14.15,11.27,2013-06-01
2013,7,"      Goddard","      S",16.81,13.73,2013-07-01
2013,8,"      Goddard","      S",18.66,15.13,2013-08-01
2013,9,"      Goddard","      S",19.39,15.28,2013-09-01
2013,10,"      Goddard","      S",19.02,15.13,2013-10-01
2013,11,"      Goddard","      S",16.87,12.77,2013-11-01
2013,12,"      Goddard","      S",11.85,8.34,2013-12-01
2014,1,"      Goddard","      S",6.33,4.38,2014-01-01
2014,2,"      Goddard","      S",3.84,2.65,2014-02-01
2014,3,"      Goddard","      S",4.9,3.32,2014-03-01
2014,4,"      Goddard","      S",8.34,6.41,2014-04-01
2014,5,"      Goddard","      S",11.52,9.03,2014-05-01
2014,6,"      Goddard","      S",14.69,12.06,2014-06-01
2014,7,"      Goddard","      S",17.11,13.95,2014-07-01
2014,8,"      Goddard","      S",18.91,15.1,2014-08-01
2014,9,"      Goddard","      S",19.76,15.75,2014-09-01
2014,10,"      Goddard","      S",19,14.83,2014-10-01
2014,11,"      Goddard","      S",16.39,12.26,2014-11-01
2014,12,"      Goddard","      S",11.93,8.21,2014-12-01
2015,1,"      Goddard","      S",6.85,4.34,2015-01-01
2015,2,"      Goddard","      S",3.8,2.54,2015-02-01
2015,3,"      Goddard","      S",4.96,3.45,2015-03-01
2015,4,"      Goddard","      S",8.37,6.37,2015-04-01
2015,5,"      Goddard","      S",11.72,9.21,2015-05-01
2015,6,"      Goddard","      S",14.47,11.48,2015-06-01
2015,7,"      Goddard","      S",16.78,13.45,2015-07-01
2015,8,"      Goddard","      S",17.75,14.02,2015-08-01
2015,9,"      Goddard","      S",18.44,14.45,2015-09-01
2015,10,"      Goddard","      S",18.41,14.36,2015-10-01
2015,11,"      Goddard","      S",16.18,11.9,2015-11-01
2015,12,"      Goddard","      S",10.66,7.09,2015-12-01
2016,1,"      Goddard","      S",4.69,3.03,2016-01-01
2016,2,"      Goddard","      S",2.79,1.86,2016-02-01
2016,3,"      Goddard","      S",4.07,2.77,2016-03-01
2016,4,"      Goddard","      S",7.22,5.38,2016-04-01
2016,5,"      Goddard","      S",10.1,7.91,2016-05-01
2016,6,"      Goddard","      S",13.24,10.61,2016-06-01
2016,7,"      Goddard","      S",16.02,12.55,2016-07-01
2016,8,"      Goddard","      S",17.89,13.98,2016-08-01
2016,9,"      Goddard","      S",18.15,13.86,2016-09-01
2016,10,"      Goddard","      S",17.46,12.94,2016-10-01
2016,11,"      Goddard","      S",14.22,9.84,2016-11-01
2016,12,"      Goddard","      S",8.28,5.51,2016-12-01
2017,1,"      Goddard","      S",3.78,2.56,2017-01-01
2017,2,"      Goddard","      S",2.29,1.64,2017-02-01
2017,3,"      Goddard","      S",2.7,1.83,2017-03-01
2017,4,"      Goddard","      S",5.44,3.93,2017-04-01
2017,5,"      Goddard","      S",9.01,6.83,2017-05-01
2017,6,"      Goddard","      S",12.41,9.8,2017-06-01
2017,7,"      Goddard","      S",15.3,12.28,2017-07-01
2017,8,"      Goddard","      S",17.22,13.62,2017-08-01
2017,9,"      Goddard","      S",17.91,13.92,2017-09-01
2017,10,"      Goddard","      S",17.78,13.45,2017-10-01
2017,11,"      Goddard","      S",15.11,10.91,2017-11-01
2017,12,"      Goddard","      S",9.48,6.23,2017-12-01
2018,1,"      Goddard","      S",4.21,2.69,2018-01-01
2018,2,"      Goddard","      S",2.33,1.63,2018-02-01
2018,3,"      Goddard","      S",3.54,2.31,2018-03-01
2018,4,"      Goddard","      S",6.03,4.15,2018-04-01
2018,5,"      Goddard","      S",9.32,7.15,2018-05-01
2018,6,"      Goddard","      S",12.89,10.23,2018-06-01
2018,7,"      Goddard","      S",15.7,12.49,2018-07-01
2018,8,"      Goddard","      S",17.42,14.01,2018-08-01
2018,9,"      Goddard","      S",17.96,14.2,2018-09-01
2018,10,"      Goddard","      S",17.73,13.99,2018-10-01
2018,11,"      Goddard","      S",15.1,10.75,2018-11-01
2018,12,"      Goddard","      S",9.19,5.59,2018-12-01
2019,1,"      Goddard","      S",3.87,2.66,2019-01-01
2019,2,"      Goddard","      S",2.65,1.81,2019-02-01
2019,3,"      Goddard","      S",3.17,2.1,2019-03-01
2019,4,"      Goddard","      S",5.72,4.18,2019-04-01
2019,5,"      Goddard","      S",8.85,6.84,2019-05-01
2019,6,"      Goddard","      S",12.25,9.75,2019-06-01
2019,7,"      Goddard","      S",15.3,12.33,2019-07-01
2019,8,"      Goddard","      S",17.48,13.99,2019-08-01
2019,9,"      Goddard","      S",18.33,14.6,2019-09-01
2019,10,"      Goddard","      S",17.94,13.9,2019-10-01
2019,11,"      Goddard","      S",14.99,11.19,2019-11-01
2019,12,"      Goddard","      S",9.41,6.59,2019-12-01
2020,1,"      NRTSI-G","      S",4.51,3.01,2020-01-01
2020,2,"      NRTSI-G","      S",2.87,1.79,2020-02-01
2020,3,"      NRTSI-G","      S",3.98,2.56,2020-03-01
2020,4,"      NRTSI-G","      S",6.64,4.78,2020-04-01
2020,5,"      NRTSI-G","      S",9.82,7.56,2020-05-01
2020,6,"      NRTSI-G","      S",13.22,10.55,2020-06-01
2020,7,"      NRTSI-G","      S",15.65,12.57,2020-07-01
2020,8,"      NRTSI-G","      S",17.7,14.41,2020-08-01
2020,9,"      NRTSI-G","      S",18.77,14.99,2020-09-01
2020,10,"      NRTSI-G","      S",18.4,14.48,2020-10-01
2020,11,"      NRTSI-G","      S",16.13,11.78,2020-11-01
